t,traj_0,traj_1,traj_2,traj_3,traj_4,traj_5,traj_6,traj_7,traj_8,traj_9
1.090000000000000080e+00,2.358732174636683776e-01,1.112832767259378935e-01,8.391850244280836535e-02,1.262651644226182590e-01,1.960206108066261665e-01,2.260154821540085734e-01,3.473718097319167253e-01,5.550990484287728066e-02,4.256138174210142289e-01,1.846027269092474776e-01
1.100000000000000089e+00,1.911884922683758647e-01,1.212837978833859603e-01,1.119511944321164298e-01,6.787570870618332697e-02,1.308217930345919044e-01,2.929275105659432943e-01,2.334577435629346664e-01,9.152613231227202384e-02,2.618525635206990776e-01,2.002548457018947792e-01
1.110000000000000098e+00,1.254806165284596819e-01,1.568276872100447528e-01,7.906272261538004054e-02,4.753353508837271368e-02,1.052421341303491631e-01,2.784475856314708730e-01,1.659726970387114808e-01,1.040851455145763022e-01,2.212101019809859237e-01,2.572084869895111536e-01
1.120000000000000107e+00,1.813503093317923587e-01,1.155314757941214299e-01,8.357555284213880054e-02,6.980731190319609814e-02,1.093883025317006069e-01,2.314054830991342515e-01,1.654903868694043989e-01,1.743843978877276379e-01,2.576608344263907058e-01,1.879317551687107180e-01
1.130000000000000115e+00,1.071880297269922622e-01,1.398930205683751871e-01,5.935725539158225039e-02,5.605001627378541212e-02,6.615381717010089535e-02,2.828500929342003811e-01,1.886385031264620482e-01,1.223793235022623271e-01,1.824404417855965965e-01,2.251641966564652264e-01
1.140000000000000124e+00,1.571628267668363776e-01,1.102862964232177029e-01,7.939839589151527488e-02,5.845476477386560982e-02,1.112756520159176588e-01,2.513825131719666373e-01,2.071471478050895265e-01,4.119121342177193418e-02,2.692950735463433554e-01,1.751206758480627346e-01
1.150000000000000133e+00,1.362148069727248390e-01,1.267487745844253222e-01,6.956163011844052058e-02,3.310378773054137302e-02,7.511698608141004208e-02,2.554014817340476418e-01,1.183112715851006302e-01,1.214057701290555298e-02,1.957970041880357226e-01,1.981243549879961596e-01
1.159999999999999920e+00,1.123149610896945899e-01,1.313173689305102421e-01,7.227663802094702605e-02,4.329635409122865181e-02,7.611852544823081990e-02,2.888926885553056434e-01,1.520916118931860961e-01,5.699203308103253929e-02,1.859300486577525058e-01,2.019467364514205276e-01
1.169999999999999929e+00,2.904800887916512142e-01,6.475497334404667349e-02,6.352708394762741906e-02,9.827230769189819470e-02,1.262043705340151478e-01,2.761171968800592569e-01,5.597032981076593972e-01,4.136858622901918303e-01,3.262949846991606839e-01,9.806377422574676095e-02
1.179999999999999938e+00,1.478272069393609944e-01,1.180025906137300157e-01,5.856004061632663626e-02,3.456394584741209058e-02,7.285503701595470727e-02,2.018155421140527817e-01,1.525389511174834734e-01,1.030747374266826749e-01,1.842825729656360489e-01,1.762318468114574821e-01
1.189999999999999947e+00,1.465085621364127788e-01,1.119375433678725246e-01,5.565110324806942649e-02,3.487913979707190498e-02,7.077582958405111146e-02,1.959044416350881057e-01,1.415163049566083020e-01,7.721732979172499234e-02,1.939296275093517763e-01,1.648450170288430772e-01
1.199999999999999956e+00,1.467654113443432606e-01,9.402226215569042811e-02,5.713576743196829150e-02,5.134167083831004535e-02,7.821254818195920444e-02,2.446232004317193953e-01,1.806487444813920096e-01,2.454068418812177868e-02,1.780960866753537597e-01,1.361807197471098796e-01
1.209999999999999964e+00,9.412518177326537061e-02,1.085093849049043463e-01,5.871363329612944854e-02,3.826556732637068081e-02,4.646576378030688181e-02,2.363418415823664021e-01,1.084314745375128813e-01,1.101116454233390211e-02,1.962345221586664357e-01,1.542010609527620646e-01
1.219999999999999973e+00,1.751181099594236734e-01,7.036546811228368281e-02,5.476458918508880086e-02,5.407983003826560831e-02,6.487050990131681960e-02,1.945822415651141390e-01,1.486614420737569775e-01,4.934722061683000094e-02,1.682207289771205094e-01,9.819423934222352990e-02
1.229999999999999982e+00,1.154002536121320754e-01,1.021089975408845801e-01,5.428990811550556822e-02,3.227060417453705976e-02,5.410077274168242911e-02,2.354299430634899659e-01,9.202180597956385877e-02,8.803373010228177087e-02,1.643440017283709920e-01,1.403867183716411005e-01
1.239999999999999991e+00,1.494398808585352401e-01,8.464821914824462168e-02,6.022823117555670125e-02,3.941077862112900981e-02,5.507972971652408400e-02,2.107715043394491339e-01,1.382283437432623441e-01,8.383400844319409406e-02,1.732423040868901754e-01,1.149340513366392535e-01
